[y]{s} Ⓜa1 Multi[z]	^-

	^-
Drama China & Drama Korea	^-

【Indo Dub】15 Tahun Dibohongi! Aku Bangkit dan Jadi Orang Terkenal, Mantan Menyesal Tiada Arti!	https://www.youtube.com/watch?v=CSgmZVdG990

【Indo Dub】Dikira Menikahi Mayat, Ternyata Dapat Suami yang Memuja-Muja!	https://www.youtube.com/watch?v=cOKxqso8fTE

Presdir cantik bangkrut nikahi tukang cuci miskin, ternyata dia taipan! Balas dendam dimulai!	https://www.youtube.com/watch?v=7EYKlNIRa8Q

Penjual daging dilukai kepala para preman, tak diduga membangunkan kekuatan Dewa Perang bunuh semua	https://www.youtube.com/watch?v=SeXL3tvgJ1c

Dewa Perang setelah pensiun jadi pembersih piring, tapi terus diganggu terong-terongan dan hasilnya	https://www.youtube.com/watch?v=CkK_8EhAn5U

Dewa Agung Menyamar sebagai Murid Rendahan, Seratus Senior Cantik diam-diam Jatuh Cinta Padanya!	https://www.youtube.com/watch?v=HVgdv77xCRI

🪄Gadis yang dipungut dari jalan itu ternyata tabib ajaib yang menyembuhkan kaki sang CEO!	https://www.youtube.com/watch?v=BXd8YMHBnm0

【Indo Dub】Gara-gara Salah Kencan, Aku Jadi Suami Bos Wanita Terseksi!	https://www.youtube.com/watch?v=WodhfrGZv7M

Gadis desa dipaksa menikah pria tua jelek, tak diduga itulah CEO kaya maupun tampan	https://www.youtube.com/watch?v=-X_zNBjbmdc

Kau masih mau menghina aku?…Begitu identitas aslinya terungkap, semua akan diam seribu bahasa!	https://www.youtube.com/watch?v=hPc8WmvSB4g

🔥Gadis desa diremehkan, tapi ternyata dokter top! Dia sembuhkan miliarder di depan semua orang!	https://www.youtube.com/watch?v=zkSGbKbE3FY

Pria tua dibully, cuma gadis miskin membela. Ternyata dia miliarder, suruh cucunya CEO nikah gadis	https://www.youtube.com/watch?v=ms4Lu81BLZc

Dipenjara sejak lahir, dia menguasai keterampilan luar biasa	https://www.youtube.com/watch?v=d_8XqS-mdS4

Gadis Miskin Salah Masuk Wawancara, Jadi Istri Kontrak CEO Dingin & Dimanja Habis-habisan!	https://www.youtube.com/watch?v=m1FziaTttQk

Bocah bisa dengar bahasa hewan, tak sengaja selamatkan CEO, lalu dibawa pulang dimanja jadi putri!	https://www.youtube.com/watch?v=k_Xu7-YJX-M

【Indo Dub】Dari Pengangguran Jadi Raja Hidup! Nikahi 3 Istri Cantik Demi Bertahan Hidup!	https://www.youtube.com/watch?v=v2DycoYuObk

【Indo Dub】Anak Angkat yang Diusir: Bos Besar yang Sesungguhnya Bangkit!	https://www.youtube.com/watch?v=nLrzTb5LXg8

Dewa Perang turun gunung ke pesta, dianggap pengamis dan dibully satpam bajingan dan hasilnya	https://www.youtube.com/watch?v=ERnRdJnkAJY

CEO menyamar pekerja miskin untuk hancur kencanan, tak disangka jatuh cinta pada pandangan pertama	https://www.youtube.com/watch?v=XKpWPJLlMRQ

Pembantu Terpaksa Nikahi Pria Lumpuh & Miskin,Ternyata Dia CEO Super Kaya, Langsung Dimabuk Cinta!	https://www.youtube.com/watch?v=e2P1K7PXdFM

