🇫🇷 TF1 FHD ◉	00!0!2/56988?zyy
🇫🇷 FRANCE 2 FHD ◉	00!0!2/57003?zyy
🇫🇷 FRANCE 3 FHD ◉	00!0!2/56997?zyy
🇫🇷 FRANCE 3 NOA FHD	00!0!2/1126820?zyy
🇫🇷 FRANCE 4 FHD	00!0!2/57004?zyy
🇫🇷 FRANCE 5 FHD ◉	00!0!2/57005?zyy
🇫🇷 6TER FHD	00!0!2/57006?zyy
🇫🇷 AB1 FHD	00!0!2/57094?zyy
🇫🇷 AB3 FHD	00!0!2/60127?zyy
🇫🇷 ARTE FHD	00!0!2/57002?zyy
🇫🇷 BET FHD	00!0!2/56985?zyy
🇫🇷 TPMP FHD ◉	00!0!2/60132?zyy
🇫🇷 MARMITON TV FHD	00!0!2/310696?zyy
🇫🇷 IDF 1 FHD	00!0!2/56980?zyy
🇫🇷 KTO FHD	00!0!2/323521?zyy
🇫🇷 CARAC 1 FHD	00!0!2/60125?zyy
🇫🇷 CARAC 3 FHD	00!0!2/60122?zyy
🇫🇷 M6 FHD ◉	00!0!2/57072?zyy
🇫🇷 NAUTICAL CHANNEL FHD	00!0!2/231638?zyy
🇫🇷 NOVELAS TV FHD	00!0!2/56977?zyy
🇫🇷 ONE TV FHD	00!0!2/60124?zyy
🇫🇷 PARIS PREMIERE FHD ◉	00!0!2/56982?zyy
🇫🇷 RTL 9 FHD	00!0!2/56990?zyy
🇫🇷 SQOOL TV FHD	00!0!2/310662?zyy
🇫🇷 TEVA FHD	00!0!2/56999?zyy
🇫🇷 TOP SANTE TV FHD	00!0!2/310694?zyy
🇫🇷 TV BREIZH FHD	00!0!2/56987?zyy
🇫🇷 TV MONACO FHD	00!0!2/951093?zyy
🇫🇷 TV5 MONDE EUROPE FHD ◉	00!0!2/329454?zyy
🇫🇷 TV5 MONDE FHD ◉	00!0!2/56975?zyy
🇫🇷 TV5 MONDE STYLE FHD	00!0!2/311411?zyy
🇫🇷 TVM3 FHD	00!0!2/60121?zyy
🇫🇷 WEO PICARDIE FHD	00!0!2/310591?zyy
🇫🇷 WEO FHD	00!0!2/310588?zyy
🇫🇷 W9 FHD ◉	00!0!2/60133?zyy
🇫🇷 TREK FHD	00!0!2/56983?zyy
🇫🇷 VIA OCCITANIE TOULOUSE FHD	00!0!2/310587?zyy
🇫🇷 F3 CHAMP ARDENNE FHD	00!0!2/1085108?zyy
🇫🇷 FRANCE 3 CORSE VIA STELLA FHD ²	00!0!2/920028?zyy
🇫🇷 F3 COTE D'AZUR FHD	00!0!2/920029?zyy
🇫🇷 FRANCE 3 RHONE-ALPES FHD	00!0!2/1146332?zyy
🇫🇷 FRANCE 3 PROVENCE-ALPES FHD	00!0!2/1146333?zyy
🇫🇷 FRANCE 3 POITOU-CHARENTES FHD	00!0!2/1146334?zyy
🇫🇷 FRANCE 3 PICARDIE FHD	00!0!2/1146335?zyy
🇫🇷 FRANCE 3 PAYS DE LA LOIRE FHD	00!0!2/1146336?zyy
🇫🇷 FRANCE 3 PARIS ILE DE FRANCE FHD	00!0!2/1146337?zyy
🇫🇷 FRANCE 3 NORD PAS DE CALAIS FHD	00!0!2/1146338?zyy
🇫🇷 FRANCE 3 MIDI PYRÉNÉES FHD	00!0!2/1146339?zyy
🇫🇷 FRANCE 3 LORRAINE FHD	00!0!2/1146340?zyy
🇫🇷 FRANCE 3 LIMOUSIN FHD	00!0!2/1146341?zyy
🇫🇷 FRANCE 3 LANGUEDOC-ROUSSILLON FHD	00!0!2/1146342?zyy
🇫🇷 FRANCE 3 HAUTE NORMANDIE FHD	00!0!2/1146343?zyy
🇫🇷 FRANCE 3 FRANCHE-COMTÉ FHD	00!0!2/1146344?zyy
🇫🇷 FRANCE 3 CORSE VIA STELLA FHD	00!0!2/1146345?zyy
🇫🇷 FRANCE 3 CENTRE FHD	00!0!2/1146346?zyy
🇫🇷 FRANCE 3 BRETAGNE FHD	00!0!2/1146347?zyy
🇫🇷 FRANCE 3 BOURGOGNE FHD	00!0!2/1146348?zyy
🇫🇷 FRANCE 3 BASSE NORMANDIE FHD	00!0!2/1146349?zyy
🇫🇷 FRANCE 3 AUVERGNE FHD	00!0!2/1146350?zyy
